category,price,old_price,sellable_online,other_colors,depth,height,width,discounted,width_d,height_d,depth_d,discount_amount,size
Bookcases & shelving units,1385.0,1390.0,True,No,36.92273730684327,179.0,175.0,1,1,1,0,5.0,31325.0
Bookcases & shelving units,95.0,95.0,True,No,24.0,180.0,60.0,0,1,1,1,0.0,259200.0
Bookcases & shelving units,115.0,115.0,True,Yes,39.0,77.0,77.0,0,1,1,1,0.0,231231.0
Bookcases & shelving units,199.0,199.0,True,Yes,28.0,190.0,30.0,0,1,1,1,0.0,159600.0
Bookcases & shelving units,59.0,59.0,True,No,27.0,140.0,60.0,0,1,1,1,0.0,226800.0
Bookcases & shelving units,250.0,250.0,True,Yes,39.0,147.0,77.0,0,1,1,1,0.0,441441.0
Bookcases & shelving units,175.0,175.0,True,No,38.0,160.0,80.0,0,1,1,1,0.0,486400.0
Bookcases & shelving units,39.0,39.0,True,No,27.0,74.0,60.0,0,1,1,1,0.0,119880.0
Bookcases & shelving units,39.0,39.0,True,Yes,26.0,131.09728506787332,106.5630081300813,0,0,0,1,0.0,26.0
Bookcases & shelving units,85.0,85.0,True,No,24.0,165.0,62.0,0,1,1,1,0.0,245520.0
Bookcases & shelving units,270.0,270.0,True,No,35.0,131.09728506787332,81.0,0,1,0,1,0.0,2835.0
Bookcases & shelving units,30.0,50.0,True,No,12.0,35.0,33.0,1,1,1,1,20.0,13860.0
Bookcases & shelving units,245.0,245.0,True,No,36.0,93.0,100.0,0,1,1,1,0.0,334800.0
Bookcases & shelving units,185.0,185.0,True,Yes,28.0,202.0,80.0,0,1,1,1,0.0,452480.0
Bookcases & shelving units,145.0,145.0,True,Yes,28.0,202.0,40.0,0,1,1,1,0.0,226240.0
